Time[Second] 1,Pulse (ID=1) [Arb],Manual Values,
5.87 ,482,,
5.88 ,630,,
5.89 ,779,,
5.9 ,912,,
5.91 ,979,,
5.92 ,1004,,
5.93 ,1015,,
5.94 ,1020,,
5.95 ,1021,,
5.96 ,1022,,
5.97 ,1022,,
5.98 ,1020,,
5.99 ,1008,,
6 ,979,,
6.01 ,934,,
6.02 ,878,,
6.03 ,815,,
6.04 ,750,,
6.05 ,699,,
6.06 ,636,,
6.07 ,575,,
6.08 ,518,,
6.09 ,461,,
6.1 ,405,,
6.11 ,351,,
6.12 ,304,,
6.13 ,272,,
6.14 ,240,,
6.15 ,215,,
6.16 ,200,,
6.17 ,192,,
6.18 ,193,,
6.19 ,199,,
6.2 ,209,,
6.21 ,221,,
6.22 ,231,,
6.23 ,243,,
6.24 ,253,,
6.25 ,260,,
6.26 ,266,,
6.27 ,266,,
6.28 ,265,,
6.29 ,261,,
6.3 ,256,,
6.31 ,246,,
6.32 ,233,,
6.33 ,218,,
6.34 ,203,,
6.35 ,187,,
6.36 ,172,,
6.37 ,156,,
6.38 ,141,,
6.39 ,131,,
6.4 ,118,,
6.41 ,106,,
6.42 ,100,,
6.43 ,95,,
6.44 ,91,,
6.45 ,88,,
6.46 ,85,,
6.47 ,84,,
6.48 ,83,,
6.49 ,82,,
6.5 ,82,,
6.51 ,82,,
6.52 ,83,,
6.53 ,84,,
6.54 ,87,,
6.55 ,88,,
6.56 ,91,,
6.57 ,92,,
6.58 ,93,,
6.59 ,93,,
6.6 ,94,,
6.61 ,94,,
6.62 ,94,,
6.63 ,93,,
6.64 ,94,,
6.65 ,93,,
6.66 ,92,,
6.67 ,90,,
6.68 ,91,,
6.69 ,96,,
6.7 ,114,,
6.71 ,153,,
6.72 ,223,,
6.73 ,303,,
6.74 ,431,,
6.75 ,574,,
6.76 ,723,,
6.77 ,867,,
6.78 ,960,,
6.79 ,997,,
6.8 ,1012,,
6.81 ,1017,,
6.82 ,1020,,
6.83 ,1022,,
6.84 ,1022,,
6.85 ,1022,,
6.86 ,1019,,
6.87 ,1003,,
6.88 ,971,,
6.89 ,923,,
6.9 ,879,,
6.91 ,818,,
6.92 ,757,,
6.93 ,696,,
6.94 ,637,,
6.95 ,579,,
6.96 ,524,,
6.97 ,470,,
6.98 ,431,,
6.99 ,383,,
7 ,340,,
7.01 ,299,,
7.02 ,264,,
7.03 ,237,,
7.04 ,219,,
7.05 ,210,,
7.06 ,209,,
7.07 ,215,,
7.08 ,228,,
7.09 ,243,,
7.1 ,258,,
7.11 ,273,,
7.12 ,286,,
7.13 ,295,,
7.14 ,299,,
7.15 ,299,,
7.16 ,294,,
7.17 ,284,,
7.18 ,272,,
7.19 ,259,,
7.2 ,247,,
7.21 ,234,,
7.22 ,220,,
7.23 ,206,,
7.24 ,196,,
7.25 ,181,,
7.26 ,167,,
7.27 ,154,,
7.28 ,142,,
7.29 ,130,,
7.3 ,120,,
7.31 ,109,,
7.32 ,102,,
7.33 ,97,,
7.34 ,91,,
7.35 ,86,,
7.36 ,83,,
7.37 ,81,,
7.38 ,81,,
7.39 ,78,,
7.4 ,76,,
7.41 ,74,,
7.42 ,70,,
7.43 ,64,,
7.44 ,59,,
7.45 ,56,,
7.46 ,56,,
7.47 ,58,,
7.48 ,62,,
7.49 ,66,,
7.5 ,72,,
7.51 ,77,,
7.52 ,83,,
7.53 ,88,,
7.54 ,95,,
7.55 ,101,,
7.56 ,105,,
7.57 ,107,,
7.58 ,110,,
7.59 ,115,,
7.6 ,134,,
7.61 ,175,,
7.62 ,249,,
7.63 ,358,,
7.64 ,492,,
7.65 ,637,,
7.66 ,784,,
7.67 ,894,,
7.68 ,971,,
7.69 ,1001,,
7.7 ,1014,,
7.71 ,1019,,
7.72 ,1021,,
7.73 ,1022,,
7.74 ,1022,,
7.75 ,1021,,
7.76 ,1015,,
7.77 ,993,,
7.78 ,954,,
7.79 ,900,,
7.8 ,841,,
7.81 ,778,,
7.82 ,715,,
7.83 ,654,,
7.84 ,607,,
7.85 ,549,,
7.86 ,493,,
7.87 ,439,,
7.88 ,388,,
7.89 ,338,,
7.9 ,296,,
7.91 ,259,,
7.92 ,238,,
7.93 ,218,,
7.94 ,209,,
7.95 ,208,,
7.96 ,215,,
7.97 ,226,,
7.98 ,240,,
7.99 ,255,,
8 ,271,,
8.01 ,282,,
8.02 ,292,,
8.03 ,297,,
8.04 ,297,,
8.05 ,291,,
8.06 ,281,,
8.07 ,270,,
8.08 ,258,,
8.09 ,248,,
8.1 ,237,,
8.11 ,225,,
8.12 ,214,,
8.13 ,202,,
8.14 ,189,,
8.15 ,174,,
8.16 ,160,,
8.17 ,147,,
8.18 ,142,,
8.19 ,133,,
8.2 ,127,,
8.21 ,120,,
8.22 ,115,,
8.23 ,112,,
8.24 ,110,,
8.25 ,107,,
8.26 ,108,,
8.27 ,106,,
8.28 ,104,,
8.29 ,101,,
8.3 ,99,,
8.31 ,96,,
8.32 ,94,,
8.33 ,95,,
8.34 ,97,,
8.35 ,101,,
8.36 ,105,,
8.37 ,107,,
8.38 ,109,,
8.39 ,108,,
8.4 ,107,,
8.41 ,104,,
8.42 ,105,,
8.43 ,107,,
8.44 ,111,,
8.45 ,121,,
8.46 ,145,,
8.47 ,190,,
8.48 ,265,,
8.49 ,370,,
8.5 ,497,,
8.51 ,633,,
8.52 ,744,,
8.53 ,874,,
8.54 ,962,,
